 Name of prediction = "part_east"

 Subtracted_obs_type   First_term      Second_term     Minimized_error_variance  Singular_values_at_minimum
 none                    5236.261        3973.230        9209.491                   12
 well01_1                6199.473        3879.033        10078.51                   11
 well02_1                5259.623        3991.968        9251.592                   11
 well03_1                6648.715        3473.221        10121.94                   11
 well04_1                6865.799        4461.141        11326.94                   11
 well05_1                6215.911        3309.793        9525.704                   11
 well06_1                7337.318        3490.400        10827.72                   11
 well07_1                8080.218        4898.104        12978.32                   11
 well08_1                5536.637        3668.655        9205.291                   11
 well09_1                10560.62        2859.264        13419.88                   11
 well10_1                5004.288        4297.860        9302.149                   11
 well11_1                5151.469        3969.022        9120.491                   11
 well12_1                6064.336        3858.564        9922.900                   11
