 Name of prediction = "part_east"

 Added_obs_type        First_term      Second_term     Minimized_error_variance  Singular_values_at_minimum
 base                    5236.261        3973.230        9209.491                   12
 nwell01_1               5240.641        3971.477        9212.118                   13
 nwell02_1               5327.203        3951.023        9278.226                   13
 nwell03_1               5403.380        3969.158        9372.538                   13
 nwell04_1               5221.683        3978.935        9200.618                   13
 nwell05_1               5466.948        3910.655        9377.604                   13
 nwell06_1               5328.986        3923.627        9252.613                   13
 nwell07_1               5178.434        4018.323        9196.757                   13
 nwell08_1               5202.022        3978.930        9180.953                   13
 nwell09_1               5202.385        3995.094        9197.479                   13
 nwell10_1               5257.985        4002.667        9260.653                   13
 nwell11_1               5209.491        3988.767        9198.258                   13
 nwell12_1               5067.545        4215.929        9283.474                   13
 nwell13_1               4986.229        4192.107        9178.336                   13
 nwell14_1               5095.287        4065.524        9160.811                   13
 nwell15_1               5201.657        3925.522        9127.179                   12
 nwell16_1               5255.586        3973.347        9228.933                   12
 nwell17_1               5385.978        3680.289        9066.267                   12
 nwell18_1               5401.394        3672.061        9073.455                   12
 nwell19_1               5210.271        3926.249        9136.519                   13
 nwell20_1               5228.161        3951.603        9179.765                   13
 nwell21_1               5229.011        3987.393        9216.404                   13
 nwell22_1               5224.284        3998.682        9222.966                   13
 nwell23_1               5246.299        3950.248        9196.547                   13
 nwell24_1               5247.220        3907.863        9155.082                   13
 nwell25_1               5201.696        3910.896        9112.592                   13
 nwell26_1               5228.202        3940.343        9168.545                   13
 nwell27_1               5225.382        4028.000        9253.382                   13
 nwell28_1               5223.250        4018.400        9241.650                   13
 nwell29_1               5236.355        3973.385        9209.741                   13
 nwell30_1               5232.942        3981.068        9214.010                   13
 nwell31_1               5236.309        3927.853        9164.162                   13
 nwell32_1               5190.038        3870.090        9060.128                   13
 nwell33_1               5391.209        3704.329        9095.537                   12
 nwell34_1               5317.131        3598.200        8915.332                   12
 nwell35_1               5274.505        3919.683        9194.188                   12
 nwell36_1               5293.281        3824.139        9117.420                   12
 nwell37_1               4656.995        3703.918        8360.912                   13
 nwell38_1               4227.256        3927.673        8154.929                   13
 nwell39_1               4335.188        4335.233        8670.421                   12
 nwell40_1               4841.216        4276.697        9117.913                   12
 nwell41_1               5214.116        4037.134        9251.250                   12
 nwell42_1               5216.851        3825.526        9042.377                   12
 nwell43_1               5054.863        3686.852        8741.714                   13
 nwell44_1               4671.540        3593.314        8264.854                   13
 nwell45_1               4137.507        3960.333        8097.840                   12
 nwell46_1               4302.411        4432.369        8734.780                   12
 nwell47_1               4893.764        4334.269        9228.034                   12
 nwell48_1               5295.281        3978.505        9273.786                   12
 nwell49_1               5257.000        3675.087        8932.087                   12
 nwell50_1               5135.622        3428.424        8564.046                   12
 nwell51_1               5004.324        3699.734        8704.057                   12
 nwell52_1               4981.608        3890.661        8872.269                   12
 nwell53_1               5240.369        3865.511        9105.880                   12
 nwell54_1               5063.660        3629.088        8692.748                   12
 nwell55_1               5289.171        3660.867        8950.038                   13
 nwell56_1               5190.385        3753.191        8943.576                   13
 nwell57_1               5196.531        3894.838        9091.370                   13
 nwell58_1               5169.325        4096.289        9265.614                   13
 nwell59_1               4534.411        4669.435        9203.846                   13
 nwell60_1               4145.992        4378.651        8524.643                   13
 nwell61_1               4700.600        3492.153        8192.753                   13
 nwell62_1               5261.248        3766.190        9027.438                   13
 nwell63_1               5240.564        3883.325        9123.889                   13
 nwell64_1               5177.762        4158.904        9336.666                   13
 nwell65_1               5178.277        4056.161        9234.438                   13
 nwell66_1               5890.624        3162.479        9053.102                    9
 nwell67_1               4087.421        4563.056        8650.477                   13
 nwell68_1               4628.379        3905.000        8533.378                   13
 nwell69_1               5310.183        3924.710        9234.893                   13
 nwell70_1               5216.743        4323.810        9540.553                   13
 nwell71_1               6001.494        3147.200        9148.694                   10
 nwell72_1               5120.322        3929.004        9049.326                   13
